date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:27	1705984/1705984	---M--	200	added ('OK')	application/pdf	etag:%22654073f8-1a0800%22	https://cheryllao.me/IdyllicIslandFinalReport.pdf	C:/My%20Web%20Sites/por%20sa/cheryllao.me/IdyllicIslandFinalReport.pdf	(from https://cheryllao.me/)
19:09:27	58751/58751	---M--	200	added ('OK')	image/jpeg	etag:%22654073f8-e57f%22	https://cheryllao.me/images/SiteScrubber.jpg	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/SiteScrubber.jpg	(from https://cheryllao.me/)
19:09:27	5078373/5078373	---M--	200	added ('OK')	image/png	etag:%22654073f8-4d7d65%22	https://cheryllao.me/images/chickadeeWings.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/chickadeeWings.png	(from https://cheryllao.me/)
19:09:28	513608/513608	---M--	200	added ('OK')	image/png	etag:%22654073f8-7d648%22	https://cheryllao.me/images/bw-1.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/bw-1.png	(from https://cheryllao.me/)
19:09:28	6287349/6287349	---M--	200	added ('OK')	image/png	etag:%22654073f8-5feff5%22	https://cheryllao.me/images/cardinal.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/cardinal.png	(from https://cheryllao.me/)
19:09:28	737937/737937	---M--	200	added ('OK')	image/png	etag:%22654073f8-b4291%22	https://cheryllao.me/images/bw-3.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/bw-3.png	(from https://cheryllao.me/)
19:09:28	619312/619312	---M--	200	added ('OK')	image/png	etag:%22654073f8-97330%22	https://cheryllao.me/images/bw-4.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/bw-4.png	(from https://cheryllao.me/)
19:09:28	588092/588092	---M--	200	added ('OK')	image/png	etag:%22654073f8-8f93c%22	https://cheryllao.me/images/bw-6.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/bw-6.png	(from https://cheryllao.me/)
19:09:29	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-169d5%22	https://cheryllao.me/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/jquery-1.9.1.min.js	(from https://cheryllao.me/)
19:09:29	4229/4229	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-1085%22	https://cheryllao.me/js/jquery.appear.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/jquery.appear.js	(from https://cheryllao.me/)
19:09:29	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-8fd0%22	https://cheryllao.me/js/bootstrap.min.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/bootstrap.min.js	(from https://cheryllao.me/)
19:09:29	1872/1872	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-750%22	https://cheryllao.me/js/classie.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/classie.js	(from https://cheryllao.me/)
19:09:29	23890/23890	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-5d52%22	https://cheryllao.me/js/owl.carousel.min.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/owl.carousel.min.js	(from https://cheryllao.me/)
19:09:30	21200/21200	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-52d0%22	https://cheryllao.me/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/jquery.magnific-popup.min.js	(from https://cheryllao.me/)
19:09:30	28953/28953	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-7119%22	https://cheryllao.me/js/masonry.pkgd.min.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/masonry.pkgd.min.js	(from https://cheryllao.me/)
19:09:30	6289/6289	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-1891%22	https://cheryllao.me/js/masonry.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/masonry.js	(from https://cheryllao.me/)
19:09:30	4324/4324	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-10e4%22	https://cheryllao.me/js/smooth-scroll.min.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/smooth-scroll.min.js	(from https://cheryllao.me/)
19:09:31	15615/15615	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-3cff%22	https://cheryllao.me/js/typed.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/typed.js	(from https://cheryllao.me/)
19:09:31	5292/5292	---M-Z	200	added ('OK')	application/javascript	etag:W/%22654073f8-14ac%22	https://cheryllao.me/js/main.js	C:/My%20Web%20Sites/por%20sa/cheryllao.me/js/main.js	(from https://cheryllao.me/)
19:09:31	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/glyphicons-halflings-regular.eot	(from https://cheryllao.me/css/bootstrap.min.css)
19:09:31	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/glyphicons-halflings-regulard41d.eot	(from https://cheryllao.me/css/bootstrap.min.css)
19:09:32	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/glyphicons-halflings-regular.woff2	(from https://cheryllao.me/css/bootstrap.min.css)
19:09:32	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/glyphicons-halflings-regular.woff	(from https://cheryllao.me/css/bootstrap.min.css)
19:09:32	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/glyphicons-halflings-regular.ttf	(from https://cheryllao.me/css/bootstrap.min.css)
19:09:32	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/glyphicons-halflings-regular.svg	(from https://cheryllao.me/css/bootstrap.min.css)
19:09:33	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/css/AjaxLoader.gif	C:/My%20Web%20Sites/por%20sa/cheryllao.me/css/AjaxLoader.gif	(from https://cheryllao.me/css/owl.theme.css)
19:09:33	11656/11656	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22654073f8-2d88%22	https://cheryllao.me/fonts/Glyphter.eot	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/Glyphter.eot	(from https://cheryllao.me/css/style.css)
19:09:33	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/fonts/Glyphter?	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/Glyphterd41d	(from https://cheryllao.me/css/style.css)
19:09:33	6996/6996	---M--	200	added ('OK')	font/woff	etag:%22654073f8-1b54%22	https://cheryllao.me/fonts/Glyphter.woff	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/Glyphter.woff	(from https://cheryllao.me/css/style.css)
19:09:34	11488/11488	---M-Z	200	added ('OK')	font/ttf	etag:W/%22654073f8-2ce0%22	https://cheryllao.me/fonts/Glyphter.ttf	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/Glyphter.ttf	(from https://cheryllao.me/css/style.css)
19:09:34	74614/74614	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22654073f8-12376%22	https://cheryllao.me/fonts/Glyphter.svg	C:/My%20Web%20Sites/por%20sa/cheryllao.me/fonts/Glyphter.svg	(from https://cheryllao.me/css/style.css)
19:09:34	10730/10730	---M--	200	added ('OK')	image/gif	etag:%22654073f8-29ea%22	https://cheryllao.me/images/loader.gif	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/loader.gif	(from https://cheryllao.me/css/style.css)
19:09:35	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/images/testimonial-bg.jpg	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/testimonial-bg.jpg	(from https://cheryllao.me/css/style.css)
19:09:35	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202025%2019:09:35%20GMT	https://media.giphy.com/media/2tNvsKkc0qFdNhJmKk/giphy.gif	C:/My%20Web%20Sites/por%20sa/media.giphy.com/media/2tNvsKkc0qFdNhJmKk/giphy.gif	(from https://cheryllao.me/css/style.css)
